Temperature,Dew,Humidity,Pressure,Precipitation,distnace_from_shoreline,Developed_High_Intensity_area,Woody_Wetlands,elevation,wind_speed
60.8,55.9,84.3,29.5,3.4,93.05,4.36725432,1.90633014,289,4.8
53.8,51.2,91,29.5,0,93.05,4.36725432,1.90633014,289,8.8
32.6,28.3,84.3,29.8,0,93.05,4.36725432,1.90633014,289,16.6
28.9,19.9,69.6,30.2,0,93.05,4.36725432,1.90633014,289,15
36.4,20.6,56.2,30.1,0,93.05,4.36725432,1.90633014,289,2.2
43.8,29,58.5,29.9,0,93.05,4.36725432,1.90633014,289,2.1
48,29.3,50.9,30,0,93.05,4.36725432,1.90633014,289,7.7
48.5,27.3,47.9,29.9,0,93.05,4.36725432,1.90633014,289,3.3
53.2,33.6,51.6,29.8,0,93.05,4.36725432,1.90633014,289,5
56.1,35.3,49.5,29.8,0,93.05,4.36725432,1.90633014,289,4.8
58.5,40.9,56,29.6,0,93.05,4.36725432,1.90633014,289,8.4
46.5,38.5,74.3,29.9,0,93.05,4.36725432,1.90633014,289,12.3
44.5,23.3,46.5,30.1,0.19,93.05,4.36725432,1.90633014,289,4.3
53,29.8,45,30,0,93.05,4.36725432,1.90633014,289,7.8
60.7,48.4,65.9,29.8,0,93.05,4.36725432,1.90633014,289,13.1
67,61.4,82.9,29.6,0,93.05,4.36725432,1.90633014,289,16.7
60.6,50.5,70.7,29.6,0.04,93.05,4.36725432,1.90633014,289,17.6
44.6,27.8,53.4,30,0.02,93.05,4.36725432,1.90633014,289,10.5
52.3,26.3,39.8,30,0,93.05,4.36725432,1.90633014,289,3.5
57.6,45.5,64.8,29.8,0,93.05,4.36725432,1.90633014,289,8.8
68.5,62.3,82,29.6,0.01,93.05,4.36725432,1.90633014,289,13.5
69.7,57,64.5,29.6,0.01,93.05,4.36725432,1.90633014,289,12.8
35.9,28.9,76.8,29.9,0,93.05,4.36725432,1.90633014,289,15.8
33.6,30.4,88,29.8,0.08,93.05,4.36725432,1.90633014,289,11.1
35.9,28.7,75.5,30.1,0.02,93.05,4.36725432,1.90633014,289,13.1
39.8,36.6,88.3,30,0.13,93.05,4.36725432,1.90633014,289,10
46.4,33.4,64.4,30,0.22,93.05,4.36725432,1.90633014,289,11.6
49.9,26.8,45.5,30,0,93.05,4.36725432,1.90633014,289,2.4
75.9,68.1,77.4,29.6,0.13,93.05,4.36725432,1.90633014,289,7.9
79.4,68.8,71.2,29.5,0,93.05,4.36725432,1.90633014,289,14.6
80.8,70.9,72.8,29.6,0,93.05,4.36725432,1.90633014,289,10.2
79.1,70.3,75.7,29.6,0,93.05,4.36725432,1.90633014,289,11.5
74.6,68.8,82.5,29.5,0,93.05,4.36725432,1.90633014,289,10.2
70,64.2,83.4,29.5,0.93,93.05,4.36725432,1.90633014,289,3.6
81.6,72.7,75.8,29.4,0,93.05,4.36725432,1.90633014,289,9.8
83.5,71.3,68,29.4,0,93.05,4.36725432,1.90633014,289,14.8
83.6,72.8,71.1,29.5,0,93.05,4.36725432,1.90633014,289,14.4
82.7,70.5,67.8,29.7,0,93.05,4.36725432,1.90633014,289,12.4
79.8,70.2,74.2,29.8,0,93.05,4.36725432,1.90633014,289,8.8
80.2,67.5,67.3,29.7,0,93.05,4.36725432,1.90633014,289,9.8
78.2,66.7,69.4,29.6,0,93.05,4.36725432,1.90633014,289,8.1
80.6,67.7,66,29.6,0,93.05,4.36725432,1.90633014,289,6.5
79.6,67.9,69.5,29.6,0,93.05,4.36725432,1.90633014,289,7.4
82.6,69.4,65.4,29.6,0,93.05,4.36725432,1.90633014,289,7.2
80.5,68.5,69.3,29.6,0,93.05,4.36725432,1.90633014,289,9.6
83,67.7,62.8,29.6,0,93.05,4.36725432,1.90633014,289,14.6
81.3,68.6,68,29.4,0,93.05,4.36725432,1.90633014,289,13.9
83.4,70.8,67.6,29.3,0,93.05,4.36725432,1.90633014,289,16.8
84.8,73.3,69.8,29.5,0,93.05,4.36725432,1.90633014,289,12.3
69.7,63.4,80.6,29.7,0.78,93.05,4.36725432,1.90633014,289,10.9
74.4,64.9,73.4,29.7,0,93.05,4.36725432,1.90633014,289,8
75.8,67.3,75.7,29.4,0,93.05,4.36725432,1.90633014,289,9.3
69.4,59.6,73.4,29.5,0.72,93.05,4.36725432,1.90633014,289,10.2
77.9,57.3,52.8,29.6,0,93.05,4.36725432,1.90633014,289,6.3
82.3,62.9,54,29.6,0,93.05,4.36725432,1.90633014,289,5.4
81.8,63.9,56,29.5,0,93.05,4.36725432,1.90633014,289,10.1
83.2,69.2,64.7,29.4,0,93.05,4.36725432,1.90633014,289,15.3
83.8,70.4,66,29.4,0,93.05,4.36725432,1.90633014,289,17.9
84.2,72.1,68.6,29.5,0,93.05,4.36725432,1.90633014,289,13.8
89.1,69.6,55.3,29.7,0,93.05,4.36725432,1.90633014,289,9.3
90.3,70.2,55.8,29.6,0,93.05,4.36725432,1.90633014,289,11.7
88.9,71.5,61,29.6,0,93.05,4.36725432,1.90633014,289,11.8
88.9,70.7,60,29.6,0,93.05,4.36725432,1.90633014,289,9
86.5,71.9,64.1,29.6,0,93.05,4.36725432,1.90633014,289,8.1
85.8,70.1,61.7,29.7,0,93.05,4.36725432,1.90633014,289,7.5
88.5,69.9,57.8,29.7,0,93.05,4.36725432,1.90633014,289,8.4
89.1,70,56.7,29.7,0,93.05,4.36725432,1.90633014,289,7.7
88.2,71.4,59.7,29.7,0.07,93.05,4.36725432,1.90633014,289,7.3
85.7,71.6,65.3,29.7,0.42,93.05,4.36725432,1.90633014,289,8.7
89.4,68.8,54.3,29.6,0,93.05,4.36725432,1.90633014,289,5.6
85.6,72.7,68.1,29.6,0.35,93.05,4.36725432,1.90633014,289,6.1
88.1,71.3,60.3,29.6,0,93.05,4.36725432,1.90633014,289,8
85.7,71.6,64.4,29.6,0.03,93.05,4.36725432,1.90633014,289,9.2
87.7,69.2,57.6,29.6,0.05,93.05,4.36725432,1.90633014,289,6.8
87.5,71.3,62.5,29.6,0,93.05,4.36725432,1.90633014,289,6.6
89.2,70.9,59.5,29.6,0,93.05,4.36725432,1.90633014,289,6.6
82.2,71.5,71.7,29.6,0.06,93.05,4.36725432,1.90633014,289,8.9
80,73.7,81.4,29.6,0.22,93.05,4.36725432,1.90633014,289,6.3
82.6,74.1,76.6,29.6,0,93.05,4.36725432,1.90633014,289,7.8
84.4,74,72.6,29.6,0.54,93.05,4.36725432,1.90633014,289,11.4
81.3,74.5,81.3,29.6,0.08,93.05,4.36725432,1.90633014,289,9.4
79.5,73.4,83.1,29.5,0.51,93.05,4.36725432,1.90633014,289,4.9
71.2,61.7,60.3,29.6,0,93.05,4.36725432,1.90633014,289,7.6
84.6,70.4,64.3,29.6,0.09,93.05,4.36725432,1.90633014,289,7.1
85.2,72,66.3,29.6,0,93.05,4.36725432,1.90633014,289,5.9
46.8,42.2,44.5,29.6,0,93.05,4.36725432,1.90633014,289,8.3
65.9,54.3,47,29.5,0,93.05,4.36725432,1.90633014,289,9.2
80.9,74.8,81.7,29.6,0,93.05,4.36725432,1.90633014,289,7.8
78,74.3,88.7,29.7,0.32,93.05,4.36725432,1.90633014,289,6.9
43.1,39.9,45.1,29.7,1.71,93.05,4.36725432,1.90633014,289,3.8
63.5,58.6,84.5,29.8,0.01,93.05,4.36725432,1.90633014,289,3.9
65.1,58.8,81.6,29.8,0,93.05,4.36725432,1.90633014,289,4.3
75.9,68.5,78.9,29.7,0,93.05,4.36725432,1.90633014,289,11.2
75.1,68.5,80.3,29.5,0,93.05,4.36725432,1.90633014,289,16.2
60,48,66.8,29.6,0.64,93.05,4.36725432,1.90633014,289,4.8
71.4,65.7,82.5,29.6,0,93.05,4.36725432,1.90633014,289,5.6
78.3,70.2,77.6,29.8,0,93.05,4.36725432,1.90633014,289,7
75.8,65.9,72.8,29.9,0,93.05,4.36725432,1.90633014,289,7.8
73.6,64,73.5,29.8,0,93.05,4.36725432,1.90633014,289,6.6
72.9,65.3,77.7,29.6,0,93.05,4.36725432,1.90633014,289,7.4
60.2,55.8,85.6,29.5,0,93.05,4.36725432,1.90633014,289,12.4
46.5,30.3,54.8,29.9,1.48,93.05,4.36725432,1.90633014,289,13
47.5,27.7,48.3,29.9,0,93.05,4.36725432,1.90633014,289,6.6
48.7,42.2,79.5,29.7,0,93.05,4.36725432,1.90633014,289,10.7
44.9,37.1,74.1,29.9,0.34,93.05,4.36725432,1.90633014,289,11.7
46.1,33.6,64.3,30.1,0,93.05,4.36725432,1.90633014,289,7.2
51,36,58.8,30.1,0,93.05,4.36725432,1.90633014,289,2.8
52.9,35.5,53.6,30,0,93.05,4.36725432,1.90633014,289,4.3
43.1,37.4,80.4,30,0,93.05,4.36725432,1.90633014,289,9.6
44.1,31.6,64,30.1,0.49,93.05,4.36725432,1.90633014,289,6.1
44.9,41.2,87.3,30,0.06,93.05,4.36725432,1.90633014,289,4.7
51.4,43.6,75.8,29.9,0.43,93.05,4.36725432,1.90633014,289,4
62.2,51.3,68.4,29.7,0.01,93.05,4.36725432,1.90633014,289,5.8
65.1,62.6,91.7,29.6,0,93.05,4.36725432,1.90633014,289,8.9
60.2,56.6,88.1,29.7,0.47,93.05,4.36725432,1.90633014,289,11.8
56.5,51.1,83.6,29.5,1.22,93.05,4.36725432,1.90633014,289,11.9
56.2,44.5,66.5,29.6,0.02,93.05,4.36725432,1.90633014,289,4.8
60.1,50.3,72.8,29.6,0,93.05,4.36725432,1.90633014,289,6.2
71.4,67.1,87.2,29.5,0,93.05,4.36725432,1.90633014,289,9.2
53,35.2,53.8,29.9,0,93.05,4.36725432,1.90633014,289,13.4
56.7,51.4,83.4,29.5,0.02,171.2,5.70265839,2.07868518,371,3.4
56.2,52.5,87.6,29.5,0.04,171.2,5.70265839,2.07868518,371,6.4
33.7,30.6,88.4,29.7,1.63,171.2,5.70265839,2.07868518,371,11.5
26.8,21.9,82,30.1,0.22,171.2,5.70265839,2.07868518,371,10.6
32.9,20,64.5,30.1,0.01,171.2,5.70265839,2.07868518,371,2.7
38.6,22.3,58,29.9,0,171.2,5.70265839,2.07868518,371,2.2
41.3,19,43.3,29.9,0,171.2,5.70265839,2.07868518,371,5.5
45,17.4,28.1,29.8,0,171.2,5.70265839,2.07868518,371,5.5
49.8,26.4,45.5,29.7,0,171.2,5.70265839,2.07868518,371,2.8
49.8,27.9,51.3,29.7,0,171.2,5.70265839,2.07868518,371,3.5
57.1,34.8,46.1,29.6,0,171.2,5.70265839,2.07868518,371,10
41.7,30.9,67.1,29.9,0,171.2,5.70265839,2.07868518,371,9.2
39.7,18.4,46.8,30,0.17,171.2,5.70265839,2.07868518,371,5.7
50.4,27.1,46.8,29.9,0,171.2,5.70265839,2.07868518,371,5.6
56,42,60.9,29.8,0,171.2,5.70265839,2.07868518,371,12.3
67.2,50.6,59.6,29.6,0,171.2,5.70265839,2.07868518,371,15.9
56.3,27.7,50.7,29.5,0.06,171.2,5.70265839,2.07868518,371,16.3
37.5,27.1,68,29.9,0.38,171.2,5.70265839,2.07868518,371,5.4
45.4,28.5,60.4,30,0,171.2,5.70265839,2.07868518,371,3.2
54,38.2,59.2,29.8,0,171.2,5.70265839,2.07868518,371,9.3
66.8,61.1,83.6,29.5,0.01,171.2,5.70265839,2.07868518,371,12.1
65.2,53.6,66.3,29.6,0,171.2,5.70265839,2.07868518,371,14.8
36.8,32.6,85.7,29.8,0,171.2,5.70265839,2.07868518,371,8
34.9,34,96.9,29.8,0.18,171.2,5.70265839,2.07868518,371,6.9
36.1,27.4,71.4,30,0.01,171.2,5.70265839,2.07868518,371,8.8
35.4,34.3,95.7,30,0.15,171.2,5.70265839,2.07868518,371,5.5
42.2,34.6,78.4,30,0.91,171.2,5.70265839,2.07868518,371,6.5
45.8,27.5,58.5,29.9,0,171.2,5.70265839,2.07868518,371,1.8
73.5,58,61.1,29.6,0.02,171.2,5.70265839,2.07868518,371,5.3
76,66.9,74.9,29.5,0,171.2,5.70265839,2.07868518,371,11.8
72.2,65.9,81.4,29.5,1.5,171.2,5.70265839,2.07868518,371,9.1
76.8,69,78.3,29.5,0,171.2,5.70265839,2.07868518,371,7.4
71.1,67.3,87.8,29.5,0,171.2,5.70265839,2.07868518,371,9.9
69,53.7,65.5,29.5,1.97,171.2,5.70265839,2.07868518,371,5.2
75.1,39.7,39.4,29.4,0,171.2,5.70265839,2.07868518,371,6.7
80.9,72.1,75.8,29.3,0,171.2,5.70265839,2.07868518,371,10.9
81,71.4,73.8,29.4,0,171.2,5.70265839,2.07868518,371,12.1
79.2,69.8,74.6,29.6,0,171.2,5.70265839,2.07868518,371,9.2
79.1,69.4,74.3,29.7,0,171.2,5.70265839,2.07868518,371,5.3
79.1,67,69.5,29.6,0,171.2,5.70265839,2.07868518,371,7
78,65.9,67.9,29.5,0,171.2,5.70265839,2.07868518,371,6.2
