Temperature,Dew,Humidity,Pressure,Precipitation,Developed_High_Intensity_area,Woody_Wetlands,elevation,wind_speed
46.00,20.60,37.50,26.40,0.00,10.34,0.08,3202.00,13.30
23.50,16.00,73.50,26.60,0.00,10.34,0.08,3202.00,16.40
12.10,5.40,74.60,26.80,0.11,10.34,0.08,3202.00,16.90
19.70,7.30,61.80,27.10,0.00,10.34,0.08,3202.00,7.40
32.60,9.90,45.10,26.80,0.00,10.34,0.08,3202.00,11.80
37.70,18.80,49.70,26.80,0.00,10.34,0.08,3202.00,15.00
36.10,16.80,52.00,26.90,0.00,10.34,0.08,3202.00,7.80
45.50,14.80,34.30,26.70,0.00,10.34,0.08,3202.00,13.30
43.80,13.40,34.80,26.70,0.00,10.34,0.08,3202.00,8.30
46.90,16.10,30.70,26.70,0.00,10.34,0.08,3202.00,8.80
49.60,21.60,34.90,26.60,0.00,10.34,0.08,3202.00,16.20
35.60,18.60,52.90,27.00,0.00,10.34,0.08,3202.00,11.70
41.50,15.20,41.80,26.90,0.00,10.34,0.08,3202.00,8.70
50.20,13.20,25.60,26.70,0.00,10.34,0.08,3202.00,11.20
57.30,18.00,25.60,26.50,0.00,10.34,0.08,3202.00,19.60
61.90,28.00,32.10,26.40,0.00,10.34,0.08,3202.00,18.50
35.60,17.40,49.30,26.70,0.00,10.34,0.08,3202.00,17.70
38.80,15.50,42.80,26.80,0.00,10.34,0.08,3202.00,8.90
46.60,16.00,32.30,26.80,0.00,10.34,0.08,3202.00,10.20
56.30,15.30,23.80,26.60,0.00,10.34,0.08,3202.00,16.40
56.90,29.50,41.40,26.40,0.00,10.34,0.08,3202.00,14.80
35.20,12.50,40.60,26.60,0.01,10.34,0.08,3202.00,15.20
18.60,1.60,48.60,26.80,0.00,10.34,0.08,3202.00,12.20
27.50,10.80,57.60,26.70,0.00,10.34,0.08,3202.00,9.80
24.20,13.80,68.40,26.90,0.00,10.34,0.08,3202.00,12.80
30.30,12.70,51.30,26.90,0.00,10.34,0.08,3202.00,5.50
37.80,7.40,33.70,26.90,0.00,10.34,0.08,3202.00,6.30
45.90,7.60,23.20,26.80,0.00,10.34,0.08,3202.00,8.30
67.30,42.30,42.40,26.50,0.00,10.34,0.08,3202.00,18.40
72.80,41.80,48.10,26.40,0.20,10.34,0.08,3202.00,16.10
57.30,37.80,50.40,26.60,0.00,10.34,0.08,3202.00,10.50
67.80,43.20,49.70,26.50,0.00,10.34,0.08,3202.00,13.90
63.90,37.50,45.80,26.50,0.00,10.34,0.08,3202.00,15.80
72.60,22.30,21.50,26.50,0.00,10.34,0.08,3202.00,9.90
